ca_num,ca_name,business_license_count,food_inspections_count,liquor_license_count,building_permits_count
1,ROGERS PARK,2.0,5.0,17.0,9.0
2,WEST RIDGE,16.0,11.0,12.0,6.0
3,UPTOWN,6.0,9.0,15.0,14.0
4,LINCOLN SQUARE,11.0,17.0,15.0,13.0
5,NORTH CENTER,4.0,7.0,22.0,18.0
6,LAKE VIEW,9.0,23.0,63.0,48.0
7,LINCOLN PARK,7.0,41.0,50.0,38.0
8,NEAR NORTH SIDE,33.0,78.0,144.0,111.0
9,EDISON PARK,2.0,4.0,2.0,2.0
10,NORWOOD PARK,3.0,2.0,7.0,9.0
11,JEFFERSON PARK,7.0,2.0,10.0,8.0
12,FOREST GLEN,2.0,1.0,2.0,7.0
13,NORTH PARK,6.0,4.0,0.0,0.0
14,ALBANY PARK,10.0,14.0,10.0,10.0
15,PORTAGE PARK,13.0,7.0,19.0,19.0
16,IRVING PARK,5.0,4.0,15.0,19.0
17,DUNNING,2.0,13.0,27.0,9.0
18,MONTCLARE,0.0,2.0,2.0,1.0
19,BELMONT CRAGIN,12.0,36.0,19.0,12.0
20,HERMOSA,5.0,14.0,3.0,0.0
21,AVONDALE,4.0,5.0,13.0,12.0
22,LOGAN SQUARE,42.0,59.0,86.0,34.0
23,HUMBOLDT PARK,22.0,17.0,9.0,10.0
24,WEST TOWN,27.0,72.0,68.0,66.0
25,AUSTIN,18.0,37.0,8.0,18.0
26,WEST GARFIELD PARK,2.0,2.0,1.0,2.0
27,EAST GARFIELD PARK,2.0,3.0,0.0,6.0
28,NEAR WEST SIDE,20.0,40.0,70.0,60.0
29,NORTH LAWNDALE,2.0,8.0,2.0,22.0
30,SOUTH LAWNDALE,12.0,23.0,6.0,11.0
31,LOWER WEST SIDE,13.0,30.0,22.0,13.0
32,LOOP,19.0,63.0,69.0,59.0
33,NEAR SOUTH SIDE,2.0,14.0,17.0,12.0
34,ARMOUR SQUARE,2.0,8.0,11.0,5.0
35,DOUGLAS,1.0,7.0,2.0,4.0
36,OAKLAND,0.0,0.0,0.0,1.0
37,FULLER PARK,2.0,5.0,1.0,1.0
38,GRAND BOULEVARD,1.0,6.0,1.0,8.0
39,KENWOOD,0.0,3.0,1.0,6.0
40,WASHINGTON PARK,0.0,1.0,3.0,5.0
41,HYDE PARK,4.0,18.0,12.0,4.0
42,WOODLAWN,1.0,19.0,1.0,11.0
43,SOUTH SHORE,4.0,16.0,4.0,9.0
44,CHATHAM,6.0,11.0,5.0,6.0
45,AVALON PARK,2.0,4.0,0.0,2.0
46,SOUTH CHICAGO,2.0,12.0,1.0,5.0
47,BURNSIDE,0.0,0.0,0.0,1.0
48,CALUMET HEIGHTS,0.0,4.0,1.0,4.0
49,ROSELAND,2.0,6.0,2.0,8.0
50,PULLMAN,1.0,5.0,0.0,0.0
51,SOUTH DEERING,4.0,4.0,2.0,7.0
52,EAST SIDE,2.0,1.0,2.0,7.0
53,WEST PULLMAN,3.0,1.0,2.0,9.0
54,RIVERDALE,1.0,0.0,0.0,2.0
55,HEGEWISCH,1.0,3.0,4.0,0.0
56,GARFIELD RIDGE,5.0,6.0,7.0,18.0
57,ARCHER HEIGHTS,2.0,12.0,6.0,2.0
58,BRIGHTON PARK,9.0,20.0,3.0,12.0
59,MCKINLEY PARK,6.0,1.0,1.0,4.0
60,BRIDGEPORT,10.0,13.0,4.0,9.0
61,NEW CITY,14.0,15.0,3.0,7.0
62,WEST ELSDON,4.0,6.0,3.0,2.0
63,GAGE PARK,2.0,25.0,4.0,4.0
64,CLEARING,1.0,5.0,5.0,6.0
65,WEST LAWN,6.0,4.0,11.0,2.0
66,CHICAGO LAWN,2.0,6.0,11.0,10.0
67,WEST ENGLEWOOD,3.0,3.0,3.0,15.0
68,ENGLEWOOD,1.0,2.0,1.0,14.0
69,GREATER GRAND CROSSING,5.0,15.0,5.0,10.0
70,ASHBURN,11.0,6.0,7.0,10.0
71,AUBURN GRESHAM,2.0,14.0,3.0,12.0
72,BEVERLY,3.0,8.0,3.0,8.0
73,WASHINGTON HEIGHTS,2.0,8.0,2.0,13.0
74,MOUNT GREENWOOD,3.0,1.0,5.0,3.0
75,MORGAN PARK,3.0,5.0,0.0,8.0
76,OHARE,9.0,11.0,4.0,2.0
77,EDGEWATER,7.0,7.0,17.0,23.0
